School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Ruth Acty Elementary,Alameda,Berkeley Unified,"1400 Ada St. Berkeley, CA 94702-1217",(510) 644-6298,"Mary Cazden, (510) 644-6298, marycazden@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Sylvia Mendez Elementary,Alameda,Berkeley Unified,"2840 Ellsworth St. Berkeley, CA 94705-1029",(510) 644-6290,"Ms. Veronica Valerio, (510) 644-6209, veronicavalerio@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Thousand Oaks Elementary,Alameda,Berkeley Unified,"840 Colusa Ave. Berkeley, CA 94707-1858",(510) 644-6368,"Jacqueline Parker, (510) 644-6368, jacquelineparker@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Washington Elementary,Alameda,Berkeley Unified,"2300 Martin Luther King Jr. Way Berkeley, CA 94704-1412",(510) 644-6310,"Katia Hazen, (510) 644-6310, katiahazen@berkeley.net",Elementary Schools (Public),K,5,Yes,No,No,No
Willard Middle,Alameda,Berkeley Unified,"2425 Stuart St. Berkeley, CA 94705-1209",(510) 644-6330,"Mrs. Chris Albeck, chrisalbeck@berkeley.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Canyon Middle,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 538-8833,"Ms. April Wong, (510) 538-8833 Ext. 6003, awong@cv.k12.ca.us",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Castro Valley Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546-0146",(510) 537-1919,"Affie Sklut, asklut@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Castro Valley High,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-5910,"Blaine Torpey, (510) 537-5910, btorpey@cv.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Chabot Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-2342,"Vivienne Paratore, vparatore@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Creekside Middle,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 247-0665,"Ms. Jaliza Eagles, jeagles@cv.k12.ca.us",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Independent Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-9558,"Patrick Hansen-Schmitt, (510) 537-9558 Ext. 4861, phansenschmitt@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Jensen Ranch Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-6365,"Lisa MacLean, (510) 537-6355 Ext. 4951, lgarcia@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Marshall Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-2431,"Yvonna Rogers, yrogers@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Palomares Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 582-4207,"Jennifer Tomita, jtomita@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Proctor Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 537-0630,"Heather Ghereben, (510) 537-0630 Ext. 4552, hghereben@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Stanton Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546",(510) 727-9192,"Gina Faria, gfaria@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Vannoy Elementary,Alameda,Castro Valley Unified,"PO Box 2146 Castro Valley, CA 94546-0146",(510) 537-1832,"Doris DeLaTorre, (510) 537-1832 Ext. 4641, ddelatorre@cv.k12.ca.us",Elementary Schools (Public),K,5,Yes,No,No,No
Cottonwood Creek,Alameda,Dublin Unified,"2400 Central Pkwy. Dublin, CA 94568-6723",(925) 833-3333 Ext. 6900,"Ms. Lorianne Ventura, (925) 833-3333, venturalorianne@dublinusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Dublin Elementary,Alameda,Dublin Unified,"7997 Vomac Rd. Dublin, CA 94568-1599",(925) 833-1204 Ext. 5005,"Ms. Lauren McGovern, (925) 833-1204 Ext. 5001, mcgovernlauren@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Dublin High,Alameda,Dublin Unified,"8151 Village Pkwy. Dublin, CA 94568-1656",(925) 833-3300 Ext. 7005,"Maureen Byrne, (925) 833-3300 Ext. 7005, byrnemaureen@dublinusd.org",High Schools (Public),9,12,Yes,No,No,No
Eleanor Murray Fallon,Alameda,Dublin Unified,"3601 Kohnen Way Dublin, CA 94568-8751",(925) 875-9376 Ext. 6305,"Mr. Mark Nelson, (925) 875-9376, nelsonmark@dublinusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Frederiksen Elementary,Alameda,Dublin Unified,"7243 Tamarack Dr. Dublin, CA 94568-1746",(925) 828-1037 Ext. 5205,"Mrs. Claire Mognaga, (925) 828-1037 Ext. 5201, mognagaclaire@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Harold William Kolb,Alameda,Dublin Unified,"3150 Palermo Way Dublin, CA 94568-7326",(925) 551-4000 Ext. 6805,"Ms. Clara Lee, (925) 551-4000 Ext. 6801, leeclara@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
J. M. Amador Elementary,Alameda,Dublin Unified,"2100 East Cantara Dr. Dublin, CA 94568-6700",(925) 307-1950 Ext. 6705,"Mrs. Holly Scroggins, (925) 307-1950 Ext. 6701, scrogginsholly@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
James Dougherty Elementary,Alameda,Dublin Unified,"5301 Hibernia Dr. Dublin, CA 94568-3164",(925) 803-4444 Ext. 5805,"Ms. Joy Inouye-Scarpinato, (925) 803-4444, scarpinatojoy@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
John Green Elementary,Alameda,Dublin Unified,"3300 Antone Way Dublin, CA 94568-7550",(925) 833-4200 Ext. 6605,"Ms. Joyce Trotter, (925) 833-4200, trotterjoyce@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Murray Elementary,Alameda,Dublin Unified,"8435 Davona Dr. Dublin, CA 94568-1107",(925) 828-2568 Ext. 5405,"Ms. Meghan Boriskin, (925) 828-2568, boriskinmeghan@dublinusd.org",Elementary Schools (Public),K,5,Yes,No,No,No
Wells Middle,Alameda,Dublin Unified,"6800 Penn Dr. Dublin, CA 94568-2118",(925) 828-6227 Ext. 6005,"Mr. Mark Neal, (925) 828-6227, nealmark@dublinusd.org",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Anna Yates Elementary,Alameda,Emery Unified,"4727 San Pablo Ave. Emeryville, CA 94608-3643",(510) 601-4916,"Ms. Samantha Carter, samantha.carter@emeryusd.k12.ca.us",Elementary Schools (Public),K,8,Yes,No,No,No
Emery Secondary,Alameda,Emery Unified,"1100 47th St. Emeryville, CA 94608-2908",(510) 601-4998,"Eddie Scruggs Smith, (510) 601-4961, eddie.smith@emeryusd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
American High,Alameda,Fremont Unified,"36300 Fremont Blvd. Fremont, CA 94536-3511",(510) 796-1776,"Megan Barrington, (510) 796-1776 Ext. 57210, mbarrington@fusdk12.net",High Schools (Public),9,12,Yes,No,No,No
Ardenwood Elementary,Alameda,Fremont Unified,"33955 Emilia Ln. Fremont, CA 94555-2068",(510) 794-0392,"Elie Wasser, (510) 794-0392 Ext. 51400, ewasser@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Brier Elementary,Alameda,Fremont Unified,"39201 Sundale Dr. Fremont, CA 94538-1916",(510) 657-5020,"Julie Williams, (510) 657-5020 Ext. 23103, jwilliams@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,No,No
Brookvale Elementary,Alameda,Fremont Unified,"3400 Nicolet Ave. Fremont, CA 94536-3598",(510) 797-5940,"Malinda Elliott, (510) 797-5940 Ext. 52008, melliott@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Cabrillo Elementary,Alameda,Fremont Unified,"36700 San Pedro Dr. Fremont, CA 94536-6406",(510) 792-3232,"David Thornley, (510) 792-3232 Ext. 62106, dthornley@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Centerville Junior High,Alameda,Fremont Unified,"37720 Fremont Blvd. Fremont, CA 94536-5096",(510) 797-2072,"Walter Lewis, (510) 797-2072 Ext. 68152, wlewis@fusdk12.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
E. M. Grimmer Elementary,Alameda,Fremont Unified,"43030 Newport Dr. Fremont, CA 94538-6113",(510) 656-1250,"Judy Nye, (510) 656-6438 Ext. 42101, jnye@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Forest Park Elementary,Alameda,Fremont Unified,"34400 Maybird Cir. Fremont, CA 94555-2917",(510) 713-0141,"Denise Mapelli, (510) 713-0141 Ext. 53121, dmapelli@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Fred E. Weibel Elementary,Alameda,Fremont Unified,"45135 South Grimmer Blvd. Fremont, CA 94539-6631",(510) 651-6958,"Annie Lee, (510) 651-6958, annielee@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,No,No
G. M. Walters Middle,Alameda,Fremont Unified,"39600 Logan Dr. Fremont, CA 94538-1912",(510) 656-7211,"Dana Graham, (510) 656-7211 Ext. 28150, dgraham@fusdk12.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Glenmoor Elementary,Alameda,Fremont Unified,"4620 Mattos Dr. Fremont, CA 94536-6784",(510) 797-0740,"Brian Benevides, (510) 797-0740 Ext. 63102, bbenevides@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Harvey Green Elementary,Alameda,Fremont Unified,"42875 Gatewood St. Fremont, CA 94538-4131",(510) 656-6438,"Trisha Johnson, (510) 656-6438 Ext. 41103, tjohnson@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,No,No
Irvington High,Alameda,Fremont Unified,"41800 Blacow Rd. Fremont, CA 94538-3353",(510) 656-5711,"Amanda Melsby, (510) 656-5711 Ext. 46486, amelsby@fusdk12.net",High Schools (Public),9,12,Yes,No,Yes,No
J. Haley Durham Elementary,Alameda,Fremont Unified,"40292 Leslie St. Fremont, CA 94538-3520",(510) 657-7080,"Maria Bonaccorsi, (510) 657-7080 Ext. 24100, tbonaccorsi@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,No,No
James Leitch Elementary,Alameda,Fremont Unified,"47100 Fernald St. Fremont, CA 94539-7005",(510) 657-6100,"Tammy Pachote, (510) 657-6100 Ext. 44102, tpachote@fusdk12.net",Elementary Schools (Public),K,2,Yes,No,No,No
John Blacow Elementary,Alameda,Fremont Unified,"40404 Sundale Dr. Fremont, CA 94538-3314",(510) 656-5121,"Jose Hernandez, (510) 656-5121 Ext. 22104, jhernandez@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
John F. Kennedy High,Alameda,Fremont Unified,"39999 Blacow Rd. Fremont, CA 94538-1913",(510) 657-4070,"Edward Velez, (510) 657-4070 Ext. 27030, evelez@fusdk12.net",High Schools (Public),9,12,Yes,No,No,No
John G. Mattos Elementary,Alameda,Fremont Unified,"37944 Farwell Dr. Fremont, CA 94536-7008",(510) 793-1359,"Susan Guerrero, (510) 793-1359 Ext. 65102, sguerrero@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
John Gomes Elementary,Alameda,Fremont Unified,"555 Lemos Ln. Fremont, CA 94539-3750",(510) 656-3414,"Pamela Hughes, (510) 656-3414 Ext. 32003, phughes@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
John M. Horner Middle,Alameda,Fremont Unified,"4350 Irvington Ave. Fremont, CA 94538-4202",(510) 656-4000,"Cindy Hicks-Rodriguez, (510) 656-4000 Ext. 48109, chicks-rodriguez@fusdk12.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Joseph Azevada Elementary,Alameda,Fremont Unified,"39450 Royal Palm Dr. Fremont, CA 94538-1843",(510) 657-3900,"Carole Diamond, (510) 657-3900 Ext. 21103, cdiamond@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Joshua Chadbourne Elementary,Alameda,Fremont Unified,"801 Plymouth Ave. Fremont, CA 94539-4637",(510) 656-5242,"Kimberley Pedrotti, (510) 656-5242 Ext. 31105, kpedrotti@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Mission San Jose Elementary,Alameda,Fremont Unified,"43545 Bryant St. Fremont, CA 94539-5885",(510) 656-1200,"Katherine Carter, (510) 656-1200 Ext. 33103, kcarter@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Mission San Jose High,Alameda,Fremont Unified,"41717 Palm Ave. Fremont, CA 94539-4799",(510) 657-3600,"Jeff Evans, (510) 657-3600 Ext. 37217, jeffevans@fusdk12.net",High Schools (Public),9,12,Yes,No,Yes,No
Mission Valley Elementary,Alameda,Fremont Unified,"41700 Denise St. Fremont, CA 94539-4562",(510) 656-2000,"Denise Mapelli, (510) 656-2000 Ext. 34170, dmapelli@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Niles Elementary,Alameda,Fremont Unified,"37141 Second St. Fremont, CA 94536-2835",(510) 793-1141,"Diana Brumbaugh, (510) 793-1141 Ext. 61300, dbrumbaugh@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
O. N. Hirsch Elementary,Alameda,Fremont Unified,"41399 Chapel Way Fremont, CA 94538-4202",(510) 657-3537,"Christina Arroyo, (510) 657-3537 Ext. 43102, carroyo@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Oliveira Elementary,Alameda,Fremont Unified,"4180 Alder Ave. Fremont, CA 94536-4799",(510) 797-1135,"Linda Anderson, (510) 797-1135 Ext. 54103, lindaanderson@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Parkmont Elementary,Alameda,Fremont Unified,"2601 Parkside Dr. Fremont, CA 94536-5246",(510) 793-7492,"Johanna Cho, (510) 793-7492 Ext. 66106, jcho@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Patterson Elementary,Alameda,Fremont Unified,"35521 Cabrillo Dr. Fremont, CA 94536-5499",(510) 793-0420,"Jorge Gonzalez, (510) 793-0420 Ext. 55103, jgonzalez@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Steven Millard Elementary,Alameda,Fremont Unified,"5200 Valpey Park Dr. Fremont, CA 94538-3262",(510) 657-0344,"Carri Cassidy, (510) 657-0344 Ext. 26101, ccassidy@fusdk12.net",Elementary Schools (Public),K,5,Yes,No,No,No
Thornton Junior High,Alameda,Fremont Unified,"4357 Thornton Ave. Fremont, CA 94536-4897",(510) 793-9090,"Stan Hicks, (510) 793-9090 Ext. 58153, shicks@fusdk12.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Tom Maloney Elementary,Alameda,Fremont Unified,"38700 Logan Dr. Fremont, CA 94536-6899",(510) 797-4426,"Christopher Wood, (510) 797-4426 Ext. 64102, cwood@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Vallejo Mill Elementary,Alameda,Fremont Unified,"38569 Canyon Heights Dr. Fremont, CA 94536-1899",(510) 793-1441,"Rosalinda Cuebas Carrero, (510) 793-1441 Ext. 69250, rcuebas-carrero@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Warm Springs Elementary,Alameda,Fremont Unified,"47370 Warm Springs Blvd. Fremont, CA 94539-7458",(510) 656-1611,"Scott Iwata, (510) 656-1611 Ext. 45001, siwata@fusdk12.net",Elementary Schools (Public),3,5,Yes,No,No,No
Warwick Elementary,Alameda,Fremont Unified,"3375 Warwick Rd. Fremont, CA 94555-2499",(510) 793-8660,"Barbara Ochoa, (510) 793-8660 Ext. 56103, bochoa@fusdk12.net",Elementary Schools (Public),K,6,Yes,No,No,No
Washington High,Alameda,Fremont Unified,"38442 Fremont Blvd. Fremont, CA 94536-6031",(510) 505-7300,"Robert Moran, (510) 505-7300 Ext. 67100, bmoran@fusdk12.net",High Schools (Public),9,12,Yes,No,No,No
William Hopkins Junior High,Alameda,Fremont Unified,"600 Driscoll Rd. Fremont, CA 94539-3803",(510) 656-3500,"Corey Brown, (510) 656-3500 Ext. 38109, coreybrown@fusdk12.net",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Anthony W. Ochoa Middle,Alameda,Hayward Unified,"2121 Depot Rd. Hayward, CA 94545-2428",(510) 723-3130,"Ms. Makilia Rowe, (510) 723-3130, mrowe@husd.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Bowman Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3800,"Heidi Andrews, hhaavik@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,Yes
Bret Harte Middle,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3100,"Seana Condit-Gordon, (510) 723-3100, scondit-gordon@husd.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Burbank Elementary,Alameda,Hayward Unified,"353 B St. Hayward, CA 94541-6307",(510) 723-3805,"Mrs. Irma Torres-Fitzsimons, (510) 723-3805, itorres-fitzsimons@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Cesar Chavez Middle,Alameda,Hayward Unified,"27845 Whitman Rd. Hayward, CA 94544-4752",(510) 723-3110,"Ms. Monique Walton, (510) 723-3110, mwalton@husd.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Cherryland Elementary,Alameda,Hayward Unified,"456 Laurel Ave. Hayward, CA 94541-3831",(510) 723-3810,"Mathew Clark, (510) 723-3810, mclark@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
East Avenue Elementary,Alameda,Hayward Unified,"2424 East Ave. Hayward, CA 94541-5634",(510) 723-3815,"Peter Wilson, (510) 723-3815, pwilson@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,Yes
Eden Gardens Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3820,"Mr. Craig McKinley, (510) 723-3820, cmckinley@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Eldridge Elementary,Alameda,Hayward Unified,"26825 Eldridge Ave. Hayward, CA 94544-3729",(510) 723-3825,"Enrique Pin, (510) 723-3825, epin@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,Yes
Fairview Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3830,"Mr. Brian White, (510) 723-3830, bwhite@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Faith Ringgold School of Arts and Science,Alameda,Hayward Unified,"1570 Ward St. Hayward, CA 94541-3030",(510) 889-7399,"Gabriel Morales, (510) 723-3865, gmorales@husd.k12.ca.us",Elementary Schools (Public),K,8,Yes,No,No,No
Glassbrook Elementary,Alameda,Hayward Unified,"975 Schafer Rd. Hayward, CA 94544-3614",(510) 723-3835,"Ms. Tatiana Peugnet, (510) 723-3835, tpeugnet@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Harder Elementary,Alameda,Hayward Unified,"585 Willow Ave. Hayward, CA 94541-2424",(510) 723-3840,"Ms. Cynthia Ortiz, (510) 723-3840, cortiz@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Hayward High,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3170,"David Seymour, (510) 723-3170, dseymour@husd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Longwood Elementary,Alameda,Hayward Unified,"850 Longwood Ave. Hayward, CA 94541-7151",(510) 723-3850,"Luis Garcia, (510) 723-3850, lfgarcia@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
Lorin A. Eden Elementary,Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3855,"David Haupert, (510) 723-3855, dh261@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
"Martin Luther King, Jr. Middle",Alameda,Hayward Unified,"PO Box 5000 Hayward, CA 94540-5000",(510) 723-3120,"Mr. Alvaro Franco, (510) 723-3120, afranco@husd.k12.ca.us",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Mt. Eden High,Alameda,Hayward Unified,"2300 Panama St. Hayward, CA 94545-4662",(510) 723-3180,"Monique Walton, (510) 723-3180, mwalton@husd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Palma Ceia Elementary,Alameda,Hayward Unified,"27679 Melbourne Ave. Hayward, CA 94545-4723",(510) 723-3870,"Ms. Monica Manriquez, (510) 723-3870, molivares@husd.k12.ca.us",Elementary Schools (Public),K,6,Yes,No,No,No
